OBJECTID,Name,Text_ID,cable_id,length,ReadyForServiceDate,owners,url,Shape__Length
341,UK-Netherlands 14,uk-netherlands-14,1365,208 km,1996,"BT,  KPN,  Vodafone", ,333654.539814299
342,Unity/EAC-Pacific,unityeac-pacific,1525,"9,620 km",March 2010,"Telstra,  Google,  Global Transit,  SingTel,  KDDI,  Airtel (Bharti)", ,11949809.873336
343,WARF Submarine Cable,warf-submarine-cable,1517,680 km,March 2007,"Wataniya Telecom Maldives,  Focus Infocom,  Global Cloud Xchange", ,1156282.51040788
344,West African Cable System (WACS),west-african-cable-system-wacs,1560,"14,530 km",May 2012,"Broadband Infraco,  Telkom South Africa,  Vodacom DRC,  MTN Group,  Tata Communications,  Togo Telecom,  Telecom Namibia,  Office Congolais de Poste et Télécommunication,  Congo Telecom,  Portugal Telecom,  Angola Cables,  Cape Verde Telecom,  Vodafone", ,16602747.7086072
345,West African Cable System (WACS),west-african-cable-system-wacs,1560,"14,530 km",May 2012,"Broadband Infraco,  Telkom South Africa,  Vodacom DRC,  MTN Group,  Tata Communications,  Togo Telecom,  Telecom Namibia,  Office Congolais de Poste et Télécommunication,  Congo Telecom,  Portugal Telecom,  Angola Cables,  Cape Verde Telecom,  Vodafone", ,674733.482338791
346,Cross Straits Cable Network,cross-straits-cable-network,1632,21 km,August 2012,"Chunghwa Telecom,  China Telecom,  China Unicom,  China Mobile", ,22066.0522291737
347,Yellow,yellow,1081,"7,001 km",September 2000,CenturyLink,http://www.centurylink.com/wholesale/,7891325.48041858
348,Baltic Sea Submarine Cable,baltic-sea-submarine-cable,1624,550 km,2000,CITIC Telecom International,https://www.citictel.com/,1742040.90265739
349,Solas,solas,1205,232 km,April 1999,"eircom,  Vodafone", ,325070.177213851
350,Pan European Crossing (UK-Ireland),pan-european-crossing-uk-ireland,1547,495 km,September 2000,CenturyLink, ,753046.590502926
351,Ireland-France Cable-1 (IFC-1),ireland-france-cable-1-ifc-1,1889,490 km,Q4 2019,Ireland-France Subsea Cable Limited,http://www.ifc-1.com,828413.915518138
352,Alaska United Southeast,alaska-united-southeast,1567,626 km,November 2008,GCI,http://www.alaskaunited.com,2442168.43661352
353,America Movil Submarine Cable System-1 (AMX-1),america-movil-submarine-cable-system-1-amx-1,1686,"17,800 km",2014,América Móvil,http://www.americamovil.com,16235707.1294234
354,Atlantis-2,atlantis-2,1045,"8,500 km",February 2000,"Embratel,  Deutsche Telekom,  Telecom Italia Sparkle,  Telecom Argentina,  Telxius,  Portugal Telecom,  Orange,  Telefónica Larga Distancia de Puerto Rico,  AT&T,  BICS,  KT,  SingTel,  Sprint,  Tata Communications,  Verizon,  BT,  Orange Polska", ,13666209.575422
355,Avassa,avassa,1872,260 km,November 2016,"Comoros Telecom,  STOI", ,258637.54169498
356,Hong Kong-Guam (HK-G),hong-kong-guam-hk-g,1902,"3,900 km",Q4 2019,"RTI Connectivity,  Google", ,3586198.60644134
357,INDIGO-Central,indigo-central,1818,"4,850 km",Q1 2019,"Superloop,  SingTel,  Google,  Indosat Ooredoo,  Australia’s Academic and Research Network (AARNET)",http://www.subpartners.net/indigo,5334950.7289217
358,Eastern Africa Submarine System (EASSy),eastern-africa-submarine-system-eassy,1246,"10,500 km",July 2010,"Botswana Fibre Networks,  Telkom South Africa,  Sudan Telecom Company,  Telma (Telecom Malagasy),  Tanzania Telecommunications Company Limited,  Zambia Telecom,  Mauritius Telecom,  Vodacom DRC,  MTN Group,  Comores Telecom,  Neotel,  BT,  Etisalat,  Sau",http://www.eassy.org,10623165.510012
359,Dumai-Melaka Cable System,dumai-melaka-cable-system,1350,159 km,February 2005,"Telkom Indonesia,  Telekom Malaysia", ,144380.889694435
360,Aden-Djibouti,aden-djibouti,1307,269 km,1994,"Djibouti Telecom,  TeleYemen,  Tata Communications,  Orange,  Telecom Italia Sparkle",http://www.teleyemen.com.ye,250845.92914286
361,ARBR,arbr,1906,"2,700 km",2019,"Werthein Group,  Seaborn Group",http://www.seabornnetworks.com,2203891.13264783
362,Chuuk-Pohnpei Cable,chuuk-pohnpei-cable,1908,"1,200 km",June 2018,Federated States of Micronesia Telecommunications Company,https://fsmcable.com/chuuk,807429.540718986
363,Pacific Light Cable Network (PLCN),pacific-light-cable-network-plcn,1858,"12,817 km",Q2 2019,"Pacific Light Data Communication Co. Ltd.,  Google,  Facebook",http://pldcglobal.com/,17141611.4704426
364,Colombia-Florida Subsea Fiber (CFX-1),colombia-florida-subsea-fiber-cfx-1,1554,"2,400 km",August 2008,C&W Networks,http://www.cwnetworks.com/,2415612.91775752
365,IMEWE,imewe,1536,"12,091 km",December 2010,"Telecom Italia Sparkle,  Etisalat,  Tata Communications,  Pakistan Telecommunications Company Ltd.,  Orange,  Airtel (Bharti),  Saudi Telecom,  Ogero,  Telecom Egypt",http://imewecable.com,13451229.8472535
366,SEACOM/Tata TGN-Eurasia,seacomtata-tgn-eurasia,1552,"15,000 km",July 2009,"Industrial Promotion Services,  Remgro Limited,  Herakles Telecom LLC,  Convergence Partners,  Shanduka,  Tata Communications",http://www.seacom.mu,13483234.9575451
367,Middle East North Africa (MENA) Cable System/Gulf Bridge International,middle-east-north-africa-mena-cable-systemgulf-bridge-international,1558,"8,000 km",December 2014,"Airtel (Bharti),  Gulf Bridge International",http://www.mena-scs.com,8856507.96379699
368,Saudi Arabia-Sudan-2 (SAS-2),saudi-arabia-sudan-2-sas-2,1675,330 km,July 2011,"Sudan Telecom Company,  Saudi Telecom", ,316687.393814257
369,FLAG Europe-Asia (FEA),flag-europe-asia-fea,1027,"28,000 km",November 1997,Global Cloud Xchange,http://www.globalcloudxchange.com,29240092.4193647
370,FLAG Europe-Asia (FEA),flag-europe-asia-fea,1027,"28,000 km",November 1997,Global Cloud Xchange,http://www.globalcloudxchange.com,822111.488622248
371,EAC-C2C,eac-c2c,1592,"36,500 km",November 2002,Telstra,https://www.telstraglobal.com,36015719.7155649
372,Asia Submarine-cable Express (ASE)/Cahaya Malaysia,asia-submarine-cable-express-asecahaya-malaysia,1679,"7,500 km",August 2012,"NTT,  PLDT,  Telekom Malaysia,  Starhub", ,7875677.45913086
373,PLDT Domestic Fiber Optic Network (DFON),pldt-domestic-fiber-optic-network-dfon,1839,"11,100 km",1997,PLDT,http://www.pldt.com.ph,2054018.16822987
374,APCN-2,apcn-2,1049,"19,000 km",December 2001,"SingTel,  Verizon,  KDDI,  Chunghwa Telecom,  AT&T,  BT,  Orange,  Softbank Telecom,  NTT,  Tata Communications,  Telekom Malaysia,  Starhub,  PLDT,  China Unicom,  KT,  SingTel Optus,  Telstra,  PCCW,  China Telecom,  LG Uplus,  HKBN Enterprise Solution",http://www.apcn2na.com,18593065.6601013
375,Tata TGN-Intra Asia (TGN-IA),tata-tgn-intra-asia-tgn-ia,1534,"6,700 km",March 2009,Tata Communications,http://www.tatacommunications.com,6961418.14474383
376,Asia Pacific Gateway (APG),asia-pacific-gateway-apg,1617,"10,400 km",November 2016,"NTT,  China Telecom,  China Unicom,  Chunghwa Telecom,  KT,  Starhub,  LG Uplus,  China Mobile,  Viettel Corporation,  Vietnam Telecom International,  Global Transit,  Facebook", ,11642852.787961
377,SeaMeWe-4,seamewe-4,1035,"20,000 km",December 2005,"Bangladesh Submarine Cable Company Limited (BSCCL),  Orange,  SingTel,  Telecom Italia Sparkle,  Tata Communications,  Telekom Malaysia,  Airtel (Bharti),  Sri Lanka Telecom,  Etisalat,  Saudi Telecom,  CAT Telecom Public Company Limited,  Tunisia Teleco",http://www.seamewe4.net,19072036.8835222
378,SeaMeWe-4,seamewe-4,1035,"20,000 km",December 2005,"Bangladesh Submarine Cable Company Limited (BSCCL),  Orange,  SingTel,  Telecom Italia Sparkle,  Tata Communications,  Telekom Malaysia,  Airtel (Bharti),  Sri Lanka Telecom,  Etisalat,  Saudi Telecom,  CAT Telecom Public Company Limited,  Tunisia Teleco",http://www.seamewe4.net,1791099.72658426
379,Batam-Rengit Cable System (BRCS),batam-rengit-cable-system-brcs,1601,63 km,November 2007,PT Excelcomindo Pratama,http://www.xl.co.id,123053.716838905
380,Southeast Asia Japan Cable (SJC),southeast-asia-japan-cable-sjc,1604,"8,900 km",June 2013,"Globe Telecom,  Google,  KDDI,  Telkom Indonesia,  SingTel,  China Telecom,  TOT,  China Mobile,  Chunghwa Telecom,  Brunei International Gateway", ,8425794.77948531
381,Europe India Gateway (EIG),europe-india-gateway-eig,1580,"15,000 km",February 2011,"AT&T,  Airtel (Bharti),  Bharat Sanchar Nigam Ltd. (BSNL),  BT,  Djibouti Telecom,  du,  Gibtelecom,  Libya International Telecommunications Company,  MTN Group,  Omantel,  Portugal Telecom,  Saudi Telecom,  Telecom Egypt,  Telkom South Africa,  Verizon,",https://www.europeindiagateway.com,17178614.9232703
382,Asia Africa Europe-1 (AAE-1),asia-africa-europe-1-aae-1,1739,"25,000 km",June 2017,"China Unicom,  Telecom Egypt,  Etisalat,  Omantel,  Djibouti Telecom,  OTEGLOBE,  Pakistan Telecommunications Company Ltd.,  PCCW,  Ooredoo,  Mobily,  Viettel Corporation,  TeleYemen,  Retelit,  Reliance Jio Infocom,  Global Transit,  Vietnam Telecom Int",http://www.aaeone.com,7794644.02849088
383,Asia Africa Europe-1 (AAE-1),asia-africa-europe-1-aae-1,1739,"25,000 km",June 2017,"China Unicom,  Telecom Egypt,  Etisalat,  Omantel,  Djibouti Telecom,  OTEGLOBE,  Pakistan Telecommunications Company Ltd.,  PCCW,  Ooredoo,  Mobily,  Viettel Corporation,  TeleYemen,  Retelit,  Reliance Jio Infocom,  Global Transit,  Vietnam Telecom Int",http://www.aaeone.com,17440957.4501867
384,Pishgaman Oman Iran (POI) Network,pishgaman-oman-iran-poi-network,1689,400 km,June 2012,Pishgaman Kavir,http://www.pishgaman.com,248417.071373086
385,Pishgaman Oman Iran (POI) Network,pishgaman-oman-iran-poi-network,1689,400 km,June 2012,Pishgaman Kavir,http://www.pishgaman.com,383643.992211063
386,OMRAN/EPEG Cable System,omranepeg-cable-system,1695,600 km,Q1 2013,"Omantel,  Vodafone",http://www.omantel.om,1036662.53888364
387,Bay of Bengal Gateway (BBG),bay-of-bengal-gateway-bbg,1735,"8,100 km",Q1 2016,"Vodafone,  Telekom Malaysia,  Omantel,  Reliance Jio Infocom,  Dialog Axiata,  Etisalat,  AT&T,  China Telecom,  Telstra,  Gulf Bridge International",https://www.bayofbengalgateway.com,9134095.11922959
388,JASUKA,jasuka,1844,"10,860 km",2006,Telkom Indonesia, ,4924792.56835191
389,Indonesia Global Gateway (IGG) System,indonesia-global-gateway-igg-system,1895,"5,300 km",May 2018,"Telin,  Telkom Indonesia",http://www.telin.co.id,5195216.46003206
390,Global Caribbean Network (GCN),global-caribbean-network-gcn,1829,n.a.,September 2006,"Leucadia National Corporation,  Loret Group",http://www.globalcaribbean.net,811146.487934172
391,Americas-II,americas-ii,1148,"8,373 km",August 2000,"Embratel,  AT&T,  Verizon,  Sprint,  CANTV,  Tata Communications,  CNT,  Orange,  Portugal Telecom,  C&W Networks,  Telecom Italia Sparkle,  CenturyLink", ,8547848.75712462
392,Jakarta-Bangka-Bintan-Batam-Singapore (B3JS),jakarta-bangka-bintan-batam-singapore-b3js,1833,"1,031 km",November 2012,Moratelindo,http://www.moratelindo.co.id,1002004.76393042
393,SeaMeWe-5,seamewe-5,1559,"20,000 km",December 2016,"Telekom Malaysia,  Bangladesh Submarine Cable Company Limited (BSCCL),  China Mobile,  China Telecom,  Orange,  Myanmar Post and Telecommunication (MPT),  Saudi Telecom,  Sri Lanka Telecom,  Telkom Indonesia,  SingTel,  Telecom Italia Sparkle,  TeleYemen",http://www.seamewe5.com,5708852.15253262
394,SeaMeWe-5,seamewe-5,1559,"20,000 km",December 2016,"Telekom Malaysia,  Bangladesh Submarine Cable Company Limited (BSCCL),  China Mobile,  China Telecom,  Orange,  Myanmar Post and Telecommunication (MPT),  Saudi Telecom,  Sri Lanka Telecom,  Telkom Indonesia,  SingTel,  Telecom Italia Sparkle,  TeleYemen",http://www.seamewe5.com,14948674.6820186
395,Italy-Malta,italy-malta,1301,238 km,1995,"Telecom Italia Sparkle,  GO plc", ,372993.725714832
396,Vodafone Malta-Sicily Cable System (VMSCS),vodafone-malta-sicily-cable-system-vmscs,1249,260 km,July 2004,Vodafone Malta,http://www.vodafone.com.mt,347781.038167633
397,HANNIBAL System,hannibal-system,1621,178 km,October 2009,Tunisia Telecom,http://www.tunisietelecom.tn,208770.113039208
398,Didon,didon,1772,170 km,May 2014,"Orange Tunisie,  Ooredoo Tunisie", ,203515.740493208
399,MedNautilus Submarine System,mednautilus-submarine-system,1185,"7,000 km",November 2001,Telecom Italia Sparkle,http://mediterranean.tisparkle.com,7992451.54422133
400,Celtic,celtic,1054,275 km,August 1994,"BT,  eircom,  Orange", ,395231.522197772
401,ESAT-1,esat-1,1223,261 km,August 1999,Esat BT,http://www.esat.net,389349.399883585
402,Channel Islands-9 Liberty Submarine Cable,channel-islands-9-liberty-submarine-cable,1784,n.a.,June 2008,JTGlobal, ,209488.204303174
403,Circe South,circe-south,1323,115 km,February 1999,"VTLWavenetdf,  euNetworks", ,168177.756282778
404,UK-Channel Islands-7,uk-channel-islands-7,1703,124 km,January 1994,"Sure,  BT", ,229994.136638905
405,Pan European Crossing (UK-Belgium),pan-european-crossing-uk-belgium,1539,117 km,1999,CenturyLink, ,171405.287316036
406,Concerto,concerto,1538,550 km,1999,Interoute, ,833851.355198072
407,Farland North,farland-north,1819,150 km,1989,BT, ,244732.652445488
408,Circe North,circe-north,1137,203 km,February 1999,"VTLWavenetdf,  euNetworks", ,312291.510629346
409,E-LLAN,e-llan,1753,n.a.,2007,Manx Electricity Authority, ,171885.582279337
410,Lanis-3,lanis-3,1834,122 km,1992,Vodafone, ,198289.935506619
411,Scotland-Northern Ireland 2,scotland-northern-ireland-2,1614,82 km,1993,BT, ,135433.079511493
412,Finland Estonia Connection (FEC),finland-estonia-connection-fec,1242,250 km,January 2000,Elisa Corporation,http://www.elisa.com,343767.936407476
413,Finland-Estonia 3 (EESF-3),finland-estonia-3-eesf-3,1268,104 km,1994,"Telia Carrier,  Elion", ,186871.087569929
414,BCS East,bcs-east,1611,97.8 km,1995,Telia Carrier, ,119734.465672572
415,Batam Dumai Melaka (BDM) Cable System,batam-dumai-melaka-bdm-cable-system,1648,353 km,November 2009,"Moratelindo,  Telekom Malaysia",http://www.moratelindo.co.id,408322.241565047
416,PGASCOM,pgascom,1680,264 km,2010,PGASCOM,http://www.pgascom.co.id,293230.031234337
417,Boracay-Palawan Submarine Cable System,boracay-palawan-submarine-cable-system,1781,332 km,June 2013,Globe Telecom, ,317123.379536441
418,Saudi Arabia-Sudan-1 (SAS-1),saudi-arabia-sudan-1-sas-1,1247,333 km,April 2003,"Sudan Telecom Company,  Saudi Telecom,  The Arab Investment Company", ,313304.224315841
419,Africa-1,africa-1,1878,n.a.,2020,"PCCW,  Saudi Telecom,  MTN Group,  Telecom Egypt,  Telkom South Africa,  Etisalat,  Mauritius Telecom,  Telma (Telecom Malagasy),  Pakistan Telecommunications Company Ltd.,  Zain Sudan,  Sudatel,  China Telecom,  BICS,  Al Asab Trading Company", ,15154477.7735332
420,FALCON,falcon,1346,"10,300 km",September 2006,Global Cloud Xchange,http://www.globalcloudxchange.com,11561666.6751524
421,SeaMeWe-3,seamewe-3,1031,"39,000 km",September 1999,"Orange,  BT,  KDDI,  SingTel,  Telecom Italia Sparkle,  Telekom Malaysia,  OTEGLOBE,  AT&T,  BICS,  CAT Telecom Public Company Limited,  China Telecom,  Deutsche Telekom,  Etisalat,  Telecom Egypt,  CTM,  PT Indonesia Satellite Corp.,  Jabatan Telecom Br",http://www.smw3.com,12355747.9017879
422,SeaMeWe-3,seamewe-3,1031,"39,000 km",September 1999,"Orange,  BT,  KDDI,  SingTel,  Telecom Italia Sparkle,  Telekom Malaysia,  OTEGLOBE,  AT&T,  BICS,  CAT Telecom Public Company Limited,  China Telecom,  Deutsche Telekom,  Etisalat,  Telecom Egypt,  CTM,  PT Indonesia Satellite Corp.,  Jabatan Telecom Br",http://www.smw3.com,19909534.1269743
423,SeaMeWe-3,seamewe-3,1031,"39,000 km",September 1999,"Orange,  BT,  KDDI,  SingTel,  Telecom Italia Sparkle,  Telekom Malaysia,  OTEGLOBE,  AT&T,  BICS,  CAT Telecom Public Company Limited,  China Telecom,  Deutsche Telekom,  Etisalat,  Telecom Egypt,  CTM,  PT Indonesia Satellite Corp.,  Jabatan Telecom Br",http://www.smw3.com,9014868.44708902
424,SeaMeWe-3,seamewe-3,1031,"39,000 km",September 1999,"Orange,  BT,  KDDI,  SingTel,  Telecom Italia Sparkle,  Telekom Malaysia,  OTEGLOBE,  AT&T,  BICS,  CAT Telecom Public Company Limited,  China Telecom,  Deutsche Telekom,  Etisalat,  Telecom Egypt,  CTM,  PT Indonesia Satellite Corp.,  Jabatan Telecom Br",http://www.smw3.com,827763.480523793
